text,createTime,createTimeISO,isAd,profileUrl,musicName,musicId,webVideoUrl,duration,diggCount,shareCount,playCount,collectCount,commentCount,hashtags,isSlideshow,isSponsored,kol_username,ttSeller,commerceUser,is_trending,emoji_count,hashtag_count,word_count_no_emoji_hashtag,early_morning,morning,afternoon,evening,late_night,is_weekend,is_pinned
Tối 20.10 với SaiGon iu 💓💓 #phuongly ,10/21/2024 11:05,21/10/2024,FALSE,https://www.tiktok.com/@phuonglytran,Anh Là Ngoại Lệ Của Em,7.28603E+18,https://www.tiktok.com/@phuonglytran/video/7428075162706201863,141,2554,37,239700,84,44,phuongly,FALSE,FALSE,phuonglytran,FALSE,FALSE,TRUE,1,1,5,0,1,0,0,0,0,FALSE
🤷🏼‍♀️ #phuongly ,10/19/2024 15:03,19/10/2024,FALSE,https://www.tiktok.com/@phuonglytran,original sound,7.42514E+18,https://www.tiktok.com/@phuonglytran/video/7427394444615224583,19,68100,704,946800,737,195,phuongly,FALSE,FALSE,phuonglytran,FALSE,FALSE,FALSE,2,1,1,0,0,1,0,0,1,FALSE
🖤 #phuongly ,10/9/2024 20:49,9/10/2024,FALSE,https://www.tiktok.com/@phuonglytran,original sound - Phương Ly Trần,7.42377E+18,https://www.tiktok.com/@phuonglytran/video/7423772783093566728,15,64900,241,811200,996,128,phuongly,FALSE,FALSE,phuonglytran,FALSE,FALSE,FALSE,1,1,0,0,0,0,1,0,0,FALSE
Hihi hơi mờ ,9/29/2024 21:28,29/09/2024,FALSE,https://www.tiktok.com/@phuonglytran,,7.29E+18,https://www.tiktok.com/@phuonglytran/video/7420071915693346066,15,23100,149,561300,204,73,,FALSE,FALSE,phuonglytran,FALSE,FALSE,FALSE,0,0,3,0,0,0,1,0,1,FALSE
Ơ ! Sao em lại mềm lòng rồi …. #phuongly #anhlangoailecuaem ,9/8/2024 21:21,8/9/2024,FALSE,https://www.tiktok.com/@phuonglytran,,7.41155E+18,https://www.tiktok.com/@phuonglytran/video/7412277211664780551,16,79100,355,969400,2944,151,"phuongly, anhlangoailecuaem",FALSE,FALSE,phuonglytran,FALSE,FALSE,FALSE,0,2,9,0,0,0,1,0,1,FALSE
Mẹ tôi 🔥 ,8/22/2024 13:17,22/08/2024,FALSE,https://www.tiktok.com/@phuonglytran,original sound,7.40584E+18,https://www.tiktok.com/@phuonglytran/video/7405844141902548225,13,4208,44,278400,52,37,,FALSE,FALSE,phuonglytran,FALSE,FALSE,FALSE,1,0,2,0,0,1,0,0,0,FALSE
Ly mặc váy 💚 #phuongly ,7/27/2024 20:34,27/07/2024,FALSE,https://www.tiktok.com/@phuonglytran,original sound - Phương Ly Trần,7.39631E+18,https://www.tiktok.com/@phuonglytran/video/7396308526190087441,25,23900,97,740300,337,95,phuongly,FALSE,FALSE,phuonglytran,FALSE,FALSE,FALSE,1,1,3,0,0,0,1,0,1,FALSE
Để Ly nấu cho #phuongly ,7/5/2024 19:39,5/7/2024,FALSE,https://www.tiktok.com/@phuonglytran,original sound - Phương Ly Trần,7.38813E+18,https://www.tiktok.com/@phuonglytran/video/7388130558200630536,23,51800,313,734800,976,105,phuongly,FALSE,FALSE,phuonglytran,FALSE,FALSE,FALSE,0,1,4,0,0,0,1,0,0,FALSE
ALNLCE Hanoi 22.6 🫂 #phuongly ,6/22/2024 21:48,22/06/2024,FALSE,https://www.tiktok.com/@phuonglytran,Anh Là Ngoại Lệ Của Em,7.28603E+18,https://www.tiktok.com/@phuonglytran/video/7383339508818889985,80,128600,926,1700000,2063,478,phuongly,FALSE,FALSE,phuonglytran,FALSE,FALSE,FALSE,1,1,3,0,0,0,1,0,1,FALSE
👸🏼 iu khán giả của Ly #phuongly ,6/15/2024 23:21,15/06/2024,FALSE,https://www.tiktok.com/@phuonglytran,Make You Mine,7.33274E+18,https://www.tiktok.com/@phuonglytran/video/7380766021726031121,43,5026,48,346100,100,70,phuongly,FALSE,FALSE,phuonglytran,FALSE,FALSE,FALSE,1,1,5,0,0,0,0,1,1,FALSE
Khi mà ta bên nhau #XoayMotVong #Satgannhau ,6/12/2024 21:20,12/6/2024,FALSE,https://www.tiktok.com/@phuonglytran,Xoay Một Vòng,7.37694E+18,https://www.tiktok.com/@phuonglytran/video/7379621568512642321,19,27700,116,656200,612,92,"xoaymotvong, satgannhau",FALSE,FALSE,phuonglytran,FALSE,FALSE,FALSE,0,2,5,0,0,0,1,0,0,FALSE
Konichiwa 🪭 #phuongly #kimono #konichiwa #japan #tokyo #kyoto ,6/7/2024 20:00,7/6/2024,FALSE,https://www.tiktok.com/@phuonglytran,dont mind sickick,6.91698E+18,https://www.tiktok.com/@phuonglytran/video/7377745483252469009,22,31700,1084,814800,2097,166,"phuongly, kimono, konichiwa, japan, tokyo, kyoto",FALSE,FALSE,phuonglytran,FALSE,FALSE,FALSE,1,6,1,0,0,0,1,0,0,FALSE
THICHTHICH - TOKYO 💓💓 #phuongly ,6/2/2024 18:48,2/6/2024,FALSE,https://www.tiktok.com/@phuonglytran,original sound - Phương Ly Trần,7.37587E+18,https://www.tiktok.com/@phuonglytran/video/7375871411149196561,70,100500,942,1400000,1982,475,phuongly,FALSE,FALSE,phuonglytran,FALSE,FALSE,FALSE,1,1,3,0,0,0,1,0,1,FALSE
Ly diện Áo Dài ở Tokyo 🇻🇳🇯🇵💓 #phuongly #vietnam #aodai #tokyo #japan  ,6/1/2024 13:45,1/6/2024,FALSE,https://www.tiktok.com/@phuonglytran,original sound - Phương Ly Trần,7.37542E+18,https://www.tiktok.com/@phuonglytran/video/7375422291414420752,12,137600,719,2200000,2149,371,"phuongly, vietnam, aodai, tokyo, japan",FALSE,FALSE,phuonglytran,FALSE,FALSE,FALSE,1,5,6,0,0,1,0,0,1,FALSE
Vlog hái trái trong vườn của Ly 😆 những điều nhỏ xinh khiến Ly vui vẻ 💓🫂 #phuongly ,5/25/2024 12:22,25/05/2024,FALSE,https://www.tiktok.com/@phuonglytran,original sound - Phương Ly Trần,7.3728E+18,https://www.tiktok.com/@phuonglytran/video/7372803390801251601,176,8496,15,394900,87,22,phuongly,FALSE,FALSE,phuonglytran,FALSE,FALSE,FALSE,2,1,15,0,0,1,0,0,1,FALSE
Hihi 💕 ,5/17/2024 20:52,17/05/2024,FALSE,https://www.tiktok.com/@phuonglytran,kiss me more,7.05908E+18,https://www.tiktok.com/@phuonglytran/video/7369966038710095121,15,5875,16,291400,137,33,,FALSE,FALSE,phuonglytran,FALSE,FALSE,FALSE,1,0,1,0,0,0,1,0,0,FALSE
Đắc đạo @Andree Right Hand ,5/2/2024 20:48,2/5/2024,FALSE,https://www.tiktok.com/@phuonglytran,nhạc nền - Nguyễn Nga TN 🌺,7.1966E+18,https://www.tiktok.com/@phuonglytran/video/7364398730503589136,11,143400,5247,2700000,2469,1532,,FALSE,FALSE,phuonglytran,FALSE,FALSE,FALSE,0,0,5,0,0,0,1,0,0,FALSE
Tặng fan 🥹 #tiktokgiaitri ,5/2/2024 17:15,2/5/2024,FALSE,https://www.tiktok.com/@phuonglytran,nhạc nền - Nguyễn Nga TN 🌺,7.1966E+18,https://www.tiktok.com/@phuonglytran/video/7364343781623123217,15,167600,3103,3100000,2359,597,tiktokgiaitri,FALSE,FALSE,phuonglytran,FALSE,FALSE,FALSE,1,1,2,0,0,1,0,0,0,FALSE
🫠 #phuongly ,4/19/2024 22:31,19/04/2024,FALSE,https://www.tiktok.com/@phuonglytran,original sound,7.3596E+18,https://www.tiktok.com/@phuonglytran/video/7359601186565131537,16,85800,160,1100000,1340,159,phuongly,FALSE,FALSE,phuonglytran,FALSE,FALSE,FALSE,1,1,0,0,0,0,0,1,0,FALSE
Đi diễn không khí ấm cúng mà khán giả cưng là vẫn cưng lắm nha 💓 lâu lắm rồi mới hát lại “ Anh là ai “ mng còn nhớ không? #phuongly #anhlaai ,4/7/2024 14:21,7/4/2024,FALSE,https://www.tiktok.com/@phuonglytran,original sound,7.35502E+18,https://www.tiktok.com/@phuonglytran/video/7355021989569973505,102,14700,49,377300,266,60,"phuongly, anhlaai",FALSE,FALSE,phuonglytran,FALSE,FALSE,FALSE,1,2,30,0,0,1,0,0,1,FALSE
✨ #Cartier #Phuongly ,4/6/2024 12:12,6/4/2024,FALSE,https://www.tiktok.com/@phuonglytran,Beautiful,6.56093E+18,https://www.tiktok.com/@phuonglytran/video/7354617611100884240,20,5450,21,239400,129,28,"cartier, phuongly",FALSE,FALSE,phuonglytran,FALSE,FALSE,FALSE,1,2,0,0,0,1,0,0,1,FALSE
"Cây cối hoa lá xoa dịu được Ly với những thứ áp lực ah 🫂 
Nay ra tỉa cành cho Cụ cây gần 200tuổi hihi 🥰 #phuongly ",4/5/2024 17:28,5/4/2024,FALSE,https://www.tiktok.com/@phuonglytran,original sound,7.35433E+18,https://www.tiktok.com/@phuonglytran/video/7354327805078801681,52,7892,8,308200,82,33,phuongly,FALSE,FALSE,phuonglytran,FALSE,FALSE,FALSE,2,1,24,0,0,1,0,0,0,FALSE
