kol_username,month_start,year_start,month_end,year_end,total_posts_pr,total_posts_nonpr,unique_music_pr,unique_music_nonpr,ttSeller,commerceUser,emoji_count_pr,emoji_count_nonpr,hashtag_count_pr,hashtag_count_nonpr,word_count_no_emoji_hashtag_pr,word_count_no_emoji_hashtag_nonpr,early_morning_pr,pr_ratio_early_morning,early_morning_nonpr,morning_pr,pr_ratio_morning,morning_nonpr,afternoon_pr,pr_ratio_afternoon,afternoon_nonpr,evening_pr,pr_ratio_evening,evening_nonpr,late_night_pr,pr_ratio_late_night,late_night_nonpr,is_weekend_pr,pr_ratio_weekend,is_weekend_nonpr,is_trending_pr,pr_ratio_trending,is_trending_nonpr,duration_pr,duration_nonpr,diggCount_pr,diggCount_nonpr,shareCount_pr,shareCount_nonpr,collectCount_pr,collectCount_nonpr,commentCount_pr,commentCount_nonpr,playCount_pr,playCount_nonpr,isSlideshow_pr,pr_ratio_slideshow,isSlideshow_nonpr,isSponsored_pr,pr_ratio_sponsored,isSponsored_nonpr,e_outlier_pr,pr_ratio_e_outlier,e_outlier_nonpr,follower_change_in_input_window,pr_engagement_rate_input,pr_post_ratio,female_percent,vietnam_follower,EngagementRateOnPRPost_target
im.lunadao_official,9,2024,11,2024,5,17,5,17,False,False,5,28,64,161,399,1272,0,0.0,0,0,0.0,0,0,0.0,1,5,1.0,16,0,0.0,0,0,0.0,4,2,0.4,1,834,2585,137800,146334,10365,8258,6749,6038,2447,3102,2888700,3532900,0,0.0,0,0,0.0,0,1,0.2,0,5640,0.0544746771904316,0.2272727272727272,85.0,91.0,0.0582968901846452
im.lunadao_official,12,2024,2,2025,1,22,1,21,False,False,0,26,14,265,21,786,0,0.0,0,0,0.0,0,0,0.0,0,1,1.0,22,0,0.0,0,0,0.0,8,1,1.0,4,196,2488,21000,315591,1550,21224,1089,14841,356,5868,411600,7125400,0,0.0,0,0,0.0,0,0,0.0,1,5640,0.0582968901846452,0.0434782608695652,85.0,91.0,0.0050305530094714
im.lunadao_official,1,2025,3,2025,1,18,1,18,False,False,0,13,14,194,21,473,0,0.0,0,0,0.0,0,0,0.0,0,1,1.0,18,0,0.0,0,0,0.0,7,1,1.0,4,196,2073,21000,137869,1550,9444,1089,5628,356,1909,411600,3423800,0,0.0,0,0,0.0,0,0,0.0,0,5640,0.0582968901846452,0.0526315789473684,85.0,91.0,0.0178597785977859
biveve131,7,2024,9,2024,1,34,1,31,False,False,1,38,5,284,6,306,0,0.0,0,0,0.0,2,0,0.0,0,1,1.0,31,0,0.0,1,1,1.0,8,0,0.0,6,36,868,2453,65544,81,3790,151,6286,11,638,206600,721025,0,0.0,0,0,0.0,0,0,0.0,3,1595,0.0130493707647628,0.0285714285714285,,,0.0076101607050285
biveve131,8,2024,10,2024,0,38,0,34,False,False,0,26,0,314,0,319,0,0.0,0,0,0.0,4,0,0.0,1,0,0.0,32,0,0.0,1,0,0.0,10,0,0.0,6,0,1022,0,71811,0,4870,0,7669,0,735,0,765763,0,0.0,0,0,0.0,0,0,0.0,6,527,0.0,0.0,,,0.0162686567164179
biveve131,1,2025,3,2025,0,11,0,11,False,False,0,5,0,79,0,88,0,0.0,0,0,0.0,3,0,0.0,0,0,0.0,8,0,0.0,0,0,0.0,5,0,0.0,1,0,341,0,23652,0,827,0,3759,0,161,0,260736,0,0.0,0,0,0.0,0,0,0.0,1,9,0.0,0.0,,,0.0091106880609192
itshale98,2,2024,4,2024,2,34,2,26,False,False,2,46,17,167,16,409,0,0.0,0,0,0.0,0,0,0.0,6,2,1.0,26,0,0.0,2,0,0.0,8,1,0.5,15,213,2496,4502,516544,19,3499,231,12404,36,2123,228300,14556500,0,0.0,1,0,0.0,0,0,0.0,5,1000,0.0209724047306176,0.0555555555555555,76.0,96.0,0.0045240909090909
itshale98,3,2024,5,2024,1,28,1,23,False,False,1,33,9,135,5,322,0,0.0,0,0,0.0,0,0,0.0,4,1,1.0,23,0,0.0,1,0,0.0,6,0,0.0,4,77,2568,2557,369163,5,3658,68,11149,17,1267,58500,7650000,0,0.0,0,0,0.0,0,0,0.0,5,1025,0.0452478632478632,0.0344827586206896,76.0,96.0,0.022230607966457
itshale98,4,2024,6,2024,1,26,1,23,False,False,1,25,6,130,11,316,0,0.0,0,0,0.0,0,0,0.0,4,1,1.0,22,0,0.0,0,0,0.0,4,0,0.0,2,114,2116,9390,286870,54,3999,459,8444,50,1204,2200000,6087100,0,0.0,1,0,0.0,0,0,0.0,4,950,0.0045240909090909,0.037037037037037,76.0,96.0,0.0160148609170583
itshale98,5,2024,7,2024,6,25,6,22,False,False,6,20,36,130,75,350,0,0.0,0,0,0.0,0,0,0.0,2,6,1.0,22,0,0.0,1,2,0.3333333333333333,3,0,0.0,2,688,2119,19625,235149,127,3426,680,6592,125,973,2677000,4334500,0,0.0,1,0,0.0,0,1,0.1666666666666666,2,675,0.0076791184161374,0.1935483870967742,76.0,96.0,0.0033298769339918
